Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,97.0
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,F,_L_UG_S4,SKILL_READ,PT,98.4
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_MATH,PT,70.6
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_MATH,PT,73.9
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_MATH,PT,73.0
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_MATH,PT,54.3
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_MATH,PT,57.5
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_READ,PT,53.9
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_READ,PT,62.0
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_READ,PT,59.0
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_READ,PT,47.4
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P3,SKILL_READ,PT,50.6
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_MATH,PT,45.8
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_MATH,PT,44.2
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_MATH,PT,56.9
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_MATH,PT,56.2
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_MATH,PT,61.8
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_READ,PT,38.7
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_READ,PT,37.8
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_READ,PT,51.6
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_READ,PT,52.7
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,M,_L_UG_P6,SKILL_READ,PT,40.1
2018,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_MATH,PT,79.6
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_MATH,PT,87.6
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_MATH,PT,85.4
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_MATH,PT,83.2
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_MATH,PT,87.47
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_MATH,PT,91.3
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_MATH,PT,90.7
2018,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_READ,PT,85.9
2019,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_READ,PT,82.9
2020,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_READ,PT,85.8
2022,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_READ,PT,85.3
2023,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_READ,PT,88.32
2024,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_READ,PT,86.9
2025,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_P7,SKILL_READ,PT,90.5
2006,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,77.3
2012,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,72.2
2013,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,69.2
2014,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,67.4
2015,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,80.9
2016,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,64.8
2017,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,M,_L_UG_S4,SKILL_MATH,PT,66.8
